CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,DEFENSE_CATEGORY,SEASON,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FGM_GT_15,FGA_GT_15,GT_15_PCT,NS_GT_15_PCT
1641737,Adem Bona,1610612755,PHI,F,22.0,51,41,0.3,55.0,147.0,0.374,0.344,0.03,3 Pointers,2024-25,,,,,,,,,,,,,,,,
1629731,Dean Wade,1610612739,CLE,F-C,28.0,59,52,0.289,54.0,144.0,0.375,0.361,0.014,3 Pointers,2024-25,,,,,,,,,,,,,,,,
203954,Joel Embiid,1610612755,PHI,C-F,31.0,19,19,0.355,40.0,107.0,0.374,0.352,0.022,3 Pointers,2024-25,,,,,,,,,,,,,,,,
1630574,Ariel Hukporti,1610612752,NYK,C,23.0,22,12,0.26,7.0,34.0,0.206,0.346,-0.14,3 Pointers,2024-25,,,,,,,,,,,,,,,,
1629014,Anfernee Simons,1610612757,POR,G,26.0,70,70,0.638,,,,,0.04,2 Pointers,2024-25,301.0,519.0,0.58,0.54,,,,,,,,,,,,
203484,Kentavious Caldwell-Pope,1610612763,MEM,G,32.0,77,76,0.631,,,,,0.012,2 Pointers,2024-25,229.0,419.0,0.547,0.535,,,,,,,,,,,,
2544,LeBron James,1610612747,LAL,F,40.0,70,69,0.53,,,,,-0.011,2 Pointers,2024-25,220.0,411.0,0.535,0.547,,,,,,,,,,,,
1627759,Jaylen Brown,1610612738,BOS,G-F,28.0,63,63,0.551,,,,,0.037,2 Pointers,2024-25,238.0,406.0,0.586,0.549,,,,,,,,,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,24.0,52,52,0.61,,,,,-0.022,2 Pointers,2024-25,195.0,382.0,0.51,0.532,,,,,,,,,,,,
1629731,Dean Wade,1610612739,CLE,F-C,28.0,59,57,0.711,,,,,-0.042,2 Pointers,2024-25,178.0,355.0,0.501,0.544,,,,,,,,,,,,
1641737,Adem Bona,1610612755,PHI,F,22.0,51,51,0.7,,,,,-0.061,2 Pointers,2024-25,170.0,343.0,0.496,0.556,,,,,,,,,,,,
203954,Joel Embiid,1610612755,PHI,C-F,31.0,19,19,0.645,,,,,-0.026,2 Pointers,2024-25,102.0,194.0,0.526,0.551,,,,,,,,,,,,
1630574,Ariel Hukporti,1610612752,NYK,C,23.0,22,21,0.74,,,,,-0.053,2 Pointers,2024-25,49.0,97.0,0.505,0.559,,,,,,,,,,,,
1629014,Anfernee Simons,1610612757,POR,G,26.0,70,70,0.372,,,,,0.01,Less Than 6Ft,2024-25,,,,,194.0,303.0,0.64,0.63,,,,,,,,
1627759,Jaylen Brown,1610612738,BOS,G-F,28.0,63,60,0.33,,,,,0.008,Less Than 6Ft,2024-25,,,,,156.0,243.0,0.642,0.634,,,,,,,,
2544,LeBron James,1610612747,LAL,F,40.0,70,66,0.311,,,,,0.019,Less Than 6Ft,2024-25,,,,,156.0,241.0,0.647,0.628,,,,,,,,
203484,Kentavious Caldwell-Pope,1610612763,MEM,G,32.0,77,73,0.355,,,,,-0.011,Less Than 6Ft,2024-25,,,,,145.0,236.0,0.614,0.626,,,,,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,24.0,52,51,0.339,,,,,0.024,Less Than 6Ft,2024-25,,,,,138.0,212.0,0.651,0.627,,,,,,,,
1641737,Adem Bona,1610612755,PHI,F,22.0,51,51,0.427,,,,,-0.057,Less Than 6Ft,2024-25,,,,,121.0,209.0,0.579,0.636,,,,,,,,
1629731,Dean Wade,1610612739,CLE,F-C,28.0,59,54,0.391,,,,,-0.045,Less Than 6Ft,2024-25,,,,,114.0,195.0,0.585,0.63,,,,,,,,
203954,Joel Embiid,1610612755,PHI,C-F,31.0,19,19,0.369,,,,,-0.032,Less Than 6Ft,2024-25,,,,,67.0,111.0,0.604,0.636,,,,,,,,
1630574,Ariel Hukporti,1610612752,NYK,C,23.0,22,20,0.458,,,,,-0.095,Less Than 6Ft,2024-25,,,,,32.0,60.0,0.533,0.629,,,,,,,,
1629014,Anfernee Simons,1610612757,POR,G,26.0,70,70,0.485,,,,,0.029,Less Than 10Ft,2024-25,,,,,,,,,242.0,395.0,0.613,0.584,,,,
2544,LeBron James,1610612747,LAL,F,40.0,70,69,0.41,,,,,-0.001,Less Than 10Ft,2024-25,,,,,,,,,186.0,318.0,0.585,0.586,,,,
203484,Kentavious Caldwell-Pope,1610612763,MEM,G,32.0,77,74,0.45,,,,,-0.019,Less Than 10Ft,2024-25,,,,,,,,,168.0,299.0,0.562,0.58,,,,
1627759,Jaylen Brown,1610612738,BOS,G-F,28.0,63,63,0.404,,,,,0.016,Less Than 10Ft,2024-25,,,,,,,,,181.0,298.0,0.607,0.592,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,24.0,52,52,0.427,,,,,-0.01,Less Than 10Ft,2024-25,,,,,,,,,152.0,267.0,0.569,0.579,,,,
1629731,Dean Wade,1610612739,CLE,F-C,28.0,59,55,0.523,,,,,-0.056,Less Than 10Ft,2024-25,,,,,,,,,139.0,261.0,0.533,0.589,,,,
1641737,Adem Bona,1610612755,PHI,F,22.0,51,51,0.531,,,,,-0.075,Less Than 10Ft,2024-25,,,,,,,,,135.0,260.0,0.519,0.594,,,,
203954,Joel Embiid,1610612755,PHI,C-F,31.0,19,19,0.458,,,,,-0.042,Less Than 10Ft,2024-25,,,,,,,,,76.0,138.0,0.551,0.592,,,,
1630574,Ariel Hukporti,1610612752,NYK,C,23.0,22,20,0.542,,,,,-0.056,Less Than 10Ft,2024-25,,,,,,,,,38.0,71.0,0.535,0.591,,,,
2544,LeBron James,1610612747,LAL,F,40.0,70,69,0.513,,,,,-0.033,Greater Than 15Ft,2024-25,,,,,,,,,,,,,131.0,398.0,0.329,0.363
1627759,Jaylen Brown,1610612738,BOS,G-F,28.0,63,63,0.512,,,,,-0.026,Greater Than 15Ft,2024-25,,,,,,,,,,,,,130.0,377.0,0.345,0.371
1629014,Anfernee Simons,1610612757,POR,G,26.0,70,68,0.42,,,,,0.001,Greater Than 15Ft,2024-25,,,,,,,,,,,,,129.0,342.0,0.377,0.376
203484,Kentavious Caldwell-Pope,1610612763,MEM,G,32.0,77,75,0.447,,,,,0.047,Greater Than 15Ft,2024-25,,,,,,,,,,,,,126.0,297.0,0.424,0.377
1630178,Tyrese Maxey,1610612755,PHI,G,24.0,52,52,0.454,,,,,-0.008,Greater Than 15Ft,2024-25,,,,,,,,,,,,,103.0,284.0,0.363,0.371
1641737,Adem Bona,1610612755,PHI,F,22.0,51,46,0.386,,,,,0.028,Greater Than 15Ft,2024-25,,,,,,,,,,,,,72.0,189.0,0.381,0.353
1629731,Dean Wade,1610612739,CLE,F-C,28.0,59,54,0.357,,,,,-0.014,Greater Than 15Ft,2024-25,,,,,,,,,,,,,63.0,178.0,0.354,0.368
203954,Joel Embiid,1610612755,PHI,C-F,31.0,19,19,0.422,,,,,0.027,Greater Than 15Ft,2024-25,,,,,,,,,,,,,49.0,127.0,0.386,0.359
1630574,Ariel Hukporti,1610612752,NYK,C,23.0,22,14,0.328,,,,,-0.078,Greater Than 15Ft,2024-25,,,,,,,,,,,,,12.0,43.0,0.279,0.357
1627759,Jaylen Brown,1610612738,BOS,G-F,29.0,71,71,0.512,142.0,412.0,0.345,0.358,-0.014,3 Pointers,2025-26,,,,,,,,,,,,,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,25.0,70,70,0.442,136.0,388.0,0.351,0.365,-0.015,3 Pointers,2025-26,,,,,,,,,,,,,,,,
1642845,VJ Edgecombe,1610612755,PHI,G,20.0,74,73,0.385,122.0,369.0,0.331,0.363,-0.033,3 Pointers,2025-26,,,,,,,,,,,,,,,,
2544,LeBron James,1610612747,LAL,F,41.0,60,58,0.421,84.0,239.0,0.351,0.362,-0.01,3 Pointers,2025-26,,,,,,,,,,,,,,,,
1641737,Adem Bona,1610612755,PHI,F,23.0,70,64,0.357,80.0,205.0,0.39,0.363,0.028,3 Pointers,2025-26,,,,,,,,,,,,,,,,
203954,Joel Embiid,1610612755,PHI,C-F,32.0,38,38,0.296,57.0,184.0,0.31,0.355,-0.045,3 Pointers,2025-26,,,,,,,,,,,,,,,,
1629014,Anfernee Simons,1610612741,CHI,G,27.0,55,52,0.358,59.0,175.0,0.337,0.357,-0.02,3 Pointers,2025-26,,,,,,,,,,,,,,,,
1629731,Dean Wade,1610612739,CLE,F-C,29.0,58,55,0.307,57.0,173.0,0.329,0.363,-0.033,3 Pointers,2025-26,,,,,,,,,,,,,,,,
203484,Kentavious Caldwell-Pope,1610612763,MEM,G,33.0,50,46,0.409,49.0,117.0,0.419,0.361,0.058,3 Pointers,2025-26,,,,,,,,,,,,,,,,
1630574,Ariel Hukporti,1610612752,NYK,C,24.0,50,39,0.346,26.0,84.0,0.31,0.349,-0.04,3 Pointers,2025-26,,,,,,,,,,,,,,,,
1642845,VJ Edgecombe,1610612755,PHI,G,20.0,74,74,0.615,,,,,0.018,2 Pointers,2025-26,331.0,590.0,0.561,0.543,,,,,,,,,,,,
1630178,Tyrese Maxey,1610612755,PHI,G,25.0,70,70,0.558,,,,,0.016,2 Pointers,2025-26,272.0,490.0,0.555,0.539,,,,,,,,,,,,
203954,Joel Embiid,1610612755,PHI,C-F,32.0,38,38,0.704,,,,,-0.052,2 Pointers,2025-26,220.0,438.0,0.502,0.555,,,,,,,,,,,,
1627759,Jaylen Brown,1610612738,BOS,G-F,29.0,71,70,0.488,,,,,-0.04,2 Pointers,2025-26,198.0,393.0,0.504,0.543,,,,,,,,,,,,
1629731,Dean Wade,1610612739,CLE,F-C,29.0,58,58,0.693,,,,,-0.041,2 Pointers,2025-26,194.0,391.0,0.496,0.537,,,,,,,,,,,,
