SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX,SEASON
22024,203484,Kentavious Caldwell-Pope,1610612753,ORL,Orlando Magic,Cut,Offensive,0.143,77,0.017,1.091,0.556,0.182,0.091,0.091,0.091,0.545,0.556,11,12,5,9,4,2024-25
22024,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,OffScreen,Offensive,0.895,52,0.053,1.239,0.484,0.07,0.042,0.07,0.014,0.493,0.609,71,88,31,64,33,2024-25
22024,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,OffScreen,Offensive,0.386,70,0.06,0.901,0.347,0.012,0.062,0.012,0.0,0.333,0.467,81,73,26,75,49,2024-25
22024,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,OffScreen,Offensive,0.518,63,0.047,0.985,0.473,0.045,0.134,0.045,0.0,0.433,0.545,67,66,26,55,29,2024-25
22024,203484,Kentavious Caldwell-Pope,1610612753,ORL,Orlando Magic,OffScreen,Offensive,0.318,77,0.122,0.844,0.352,0.013,0.065,0.013,0.0,0.338,0.444,77,65,25,71,46,2024-25
22024,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,OffScreen,Offensive,0.691,70,0.027,1.087,0.439,0.065,0.065,0.065,0.022,0.435,0.561,46,50,18,41,23,2024-25
22024,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Transition,Offensive,0.666,70,0.208,1.207,0.66,0.141,0.167,0.141,0.026,0.583,0.71,348,420,165,250,85,2024-25
22024,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Transition,Offensive,0.502,63,0.213,1.132,0.55,0.123,0.113,0.113,0.03,0.526,0.6,302,342,132,240,108,2024-25
22024,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Transition,Offensive,0.619,52,0.192,1.184,0.53,0.117,0.082,0.105,0.039,0.523,0.607,256,303,114,215,101,2024-25
22024,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,Transition,Offensive,0.28,70,0.155,1.029,0.482,0.082,0.13,0.072,0.01,0.452,0.563,208,214,80,166,86,2024-25
22024,203484,Kentavious Caldwell-Pope,1610612753,ORL,Orlando Magic,Transition,Offensive,0.777,77,0.204,1.264,0.548,0.062,0.062,0.062,0.016,0.535,0.661,129,163,63,115,52,2024-25
22024,1629731,Dean Wade,1610612739,CLE,Cleveland Cavaliers,Transition,Offensive,0.342,59,0.171,1.058,0.392,0.038,0.019,0.038,0.038,0.385,0.529,52,55,20,51,31,2024-25
22024,1641737,Adem Bona,1610612755,PHI,Philadelphia 76ers,Transition,Offensive,0.913,58,0.094,1.357,0.789,0.179,0.143,0.179,0.0,0.714,0.789,28,38,15,19,4,2024-25
22024,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Transition,Offensive,0.087,19,0.077,0.886,0.238,0.286,0.143,0.257,0.029,0.4,0.31,35,31,5,21,16,2024-25
22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.767,69,0.2,1.013,0.467,0.168,0.112,0.155,0.046,0.472,0.502,394,399,141,302,161,2025-26
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.477,67,0.156,0.881,0.372,0.112,0.04,0.101,0.043,0.401,0.401,277,244,92,247,155,2025-26
22025,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.774,38,0.137,1.015,0.485,0.145,0.107,0.13,0.023,0.496,0.51,131,133,49,101,52,2025-26
22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.594,57,0.12,0.929,0.43,0.099,0.099,0.099,0.007,0.426,0.478,141,131,49,114,65,2025-26
22025,1629014,Anfernee Simons,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.816,47,0.181,1.044,0.446,0.071,0.053,0.071,0.018,0.451,0.53,113,118,45,101,56,2025-26
22025,1642845,VJ Edgecombe,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.502,74,0.096,0.89,0.413,0.059,0.085,0.059,0.025,0.398,0.462,118,105,43,104,61,2025-26
22025,1629014,Anfernee Simons,1610612741,CHI,Chicago Bulls,Isolation,Offensive,0.918,6,0.151,1.143,0.583,0.071,0.143,0.071,0.071,0.5,0.625,14,16,7,12,5,2025-26
22025,203484,Kentavious Caldwell-Pope,1610612763,MEM,Memphis Grizzlies,Isolation,Offensive,0.748,48,0.032,1.0,0.364,0.214,0.0,0.214,0.0,0.5,0.364,14,14,4,11,7,2025-26
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,PRBallHandler,Offensive,0.662,67,0.285,0.921,0.399,0.103,0.103,0.087,0.012,0.413,0.464,504,464,162,406,244,2025-26
22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,PRBallHandler,Offensive,0.699,69,0.224,0.932,0.47,0.12,0.152,0.107,0.029,0.442,0.515,441,411,157,334,177,2025-26
22025,1642845,VJ Edgecombe,1610612755,PHI,Philadelphia 76ers,PRBallHandler,Offensive,0.272,74,0.226,0.735,0.349,0.065,0.111,0.057,0.018,0.341,0.383,279,205,82,235,153,2025-26
22025,1629014,Anfernee Simons,1610612738,BOS,Boston Celtics,PRBallHandler,Offensive,0.647,47,0.289,0.911,0.39,0.05,0.106,0.05,0.011,0.372,0.474,180,164,60,154,94,2025-26
22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,PRBallHandler,Offensive,0.543,57,0.117,0.854,0.409,0.131,0.197,0.109,0.007,0.401,0.473,137,117,38,93,55,2025-26
22025,203484,Kentavious Caldwell-Pope,1610612763,MEM,Memphis Grizzlies,PRBallHandler,Offensive,0.52,48,0.194,0.849,0.397,0.093,0.174,0.081,0.0,0.384,0.46,86,73,25,63,38,2025-26
22025,1629014,Anfernee Simons,1610612741,CHI,Chicago Bulls,PRBallHandler,Offensive,0.565,6,0.333,0.871,0.417,0.032,0.226,0.032,0.032,0.323,0.542,31,27,10,24,14,2025-26
22025,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,PRRollman,Offensive,0.407,38,0.205,1.046,0.456,0.143,0.061,0.143,0.01,0.49,0.5,196,205,72,158,86,2025-26
22025,1641737,Adem Bona,1610612755,PHI,Philadelphia 76ers,PRRollman,Offensive,0.866,69,0.116,1.351,0.704,0.162,0.108,0.162,0.0,0.676,0.704,37,50,19,27,8,2025-26
22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,PRRollman,Offensive,0.41,57,0.037,1.047,0.455,0.186,0.093,0.186,0.047,0.488,0.485,43,45,15,33,18,2025-26
22025,1642845,VJ Edgecombe,1610612755,PHI,Philadelphia 76ers,PRRollman,Offensive,0.705,74,0.023,1.214,0.407,0.036,0.036,0.036,0.036,0.393,0.611,28,34,11,27,16,2025-26
22025,1629731,Dean Wade,1610612739,CLE,Cleveland Cavaliers,PRRollman,Offensive,0.806,57,0.069,1.286,0.611,0.0,0.143,0.0,0.0,0.524,0.75,21,27,11,18,7,2025-26
22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,PRRollman,Offensive,0.287,69,0.013,0.96,0.389,0.2,0.08,0.2,0.0,0.48,0.444,25,24,7,18,11,2025-26
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,PRRollman,Offensive,0.257,67,0.01,0.941,0.273,0.235,0.118,0.235,0.0,0.412,0.364,17,16,3,11,8,2025-26
22025,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Postup,Offensive,0.791,38,0.218,1.139,0.55,0.225,0.11,0.206,0.048,0.565,0.55,209,238,82,149,67,2025-26
22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Postup,Offensive,0.236,57,0.134,0.854,0.483,0.115,0.185,0.096,0.038,0.427,0.483,157,134,56,116,60,2025-26
22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Postup,Offensive,0.554,69,0.046,1.022,0.535,0.132,0.121,0.121,0.033,0.505,0.535,91,93,38,71,33,2025-26
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Postup,Offensive,0.743,67,0.015,1.115,0.579,0.154,0.115,0.154,0.0,0.577,0.579,26,29,11,19,8,2025-26
22025,1642845,VJ Edgecombe,1610612755,PHI,Philadelphia 76ers,Postup,Offensive,0.776,74,0.012,1.133,0.615,0.067,0.133,0.067,0.067,0.533,0.615,15,17,8,13,5,2025-26
22025,1642845,VJ Edgecombe,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.662,74,0.235,1.104,0.415,0.035,0.035,0.031,0.003,0.419,0.557,289,319,112,270,158,2025-26
22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Spotup,Offensive,0.399,69,0.136,1.0,0.404,0.097,0.075,0.093,0.004,0.429,0.493,268,268,90,223,133,2025-26
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.719,67,0.125,1.136,0.448,0.086,0.05,0.081,0.014,0.462,0.57,221,251,87,194,107,2025-26
22025,1629731,Dean Wade,1610612739,CLE,Cleveland Cavaliers,Spotup,Offensive,0.724,57,0.459,1.137,0.385,0.022,0.007,0.007,0.0,0.396,0.563,139,158,52,135,83,2025-26
22025,203484,Kentavious Caldwell-Pope,1610612763,MEM,Memphis Grizzlies,Spotup,Offensive,0.491,48,0.33,1.041,0.415,0.068,0.048,0.068,0.007,0.432,0.515,146,152,54,130,76,2025-26
22025,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.767,38,0.134,1.164,0.427,0.156,0.055,0.133,0.016,0.484,0.553,128,149,44,103,59,2025-26
22025,1629014,Anfernee Simons,1610612738,BOS,Boston Celtics,Spotup,Offensive,0.782,47,0.199,1.169,0.408,0.032,0.0,0.032,0.0,0.427,0.575,124,145,49,120,71,2025-26
22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Spotup,Offensive,0.263,57,0.111,0.938,0.359,0.069,0.038,0.062,0.008,0.377,0.474,130,122,42,117,75,2025-26
22025,1641737,Adem Bona,1610612755,PHI,Philadelphia 76ers,Spotup,Offensive,0.283,69,0.06,0.947,0.429,0.263,0.053,0.211,0.053,0.474,0.464,19,18,6,14,8,2025-26
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,0.822,67,0.069,1.139,0.5,0.09,0.123,0.09,0.033,0.467,0.605,122,139,50,100,50,2025-26
22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Handoff,Offensive,0.458,69,0.047,0.903,0.411,0.161,0.086,0.14,0.032,0.441,0.438,93,84,30,73,43,2025-26
22025,1642845,VJ Edgecombe,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,0.244,74,0.054,0.731,0.339,0.06,0.104,0.06,0.0,0.343,0.393,67,49,19,56,37,2025-26
22025,1629014,Anfernee Simons,1610612738,BOS,Boston Celtics,Handoff,Offensive,0.673,47,0.075,1.021,0.462,0.043,0.149,0.043,0.021,0.404,0.577,47,48,18,39,21,2025-26
22025,203484,Kentavious Caldwell-Pope,1610612763,MEM,Memphis Grizzlies,Handoff,Offensive,0.274,48,0.059,0.769,0.364,0.038,0.115,0.038,0.0,0.346,0.409,26,20,8,22,14,2025-26
22025,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,0.117,38,0.021,0.6,0.133,0.2,0.05,0.2,0.0,0.25,0.167,20,12,2,15,13,2025-26
22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Handoff,Offensive,0.0,57,0.009,0.0,0.0,0.0,0.273,0.0,0.0,0.0,0.0,11,0,0,8,8,2025-26
22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Cut,Offensive,0.47,57,0.067,1.291,0.651,0.177,0.051,0.177,0.025,0.658,0.651,79,102,41,63,22,2025-26
22025,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Cut,Offensive,0.438,38,0.07,1.284,0.623,0.239,0.045,0.239,0.075,0.642,0.623,67,86,33,53,20,2025-26
22025,1641737,Adem Bona,1610612755,PHI,Philadelphia 76ers,Cut,Offensive,0.201,69,0.223,1.155,0.604,0.197,0.085,0.197,0.028,0.62,0.604,71,82,32,53,21,2025-26
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Cut,Offensive,0.7,67,0.031,1.4,0.688,0.145,0.055,0.145,0.073,0.673,0.688,55,77,33,48,15,2025-26
22025,1642845,VJ Edgecombe,1610612755,PHI,Philadelphia 76ers,Cut,Offensive,0.607,74,0.025,1.355,0.667,0.194,0.032,0.194,0.0,0.71,0.667,31,42,16,24,8,2025-26
22025,1629731,Dean Wade,1610612739,CLE,Cleveland Cavaliers,Cut,Offensive,0.466,57,0.102,1.29,0.636,0.29,0.032,0.29,0.032,0.645,0.636,31,40,14,22,8,2025-26
22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Cut,Offensive,0.449,69,0.014,1.286,0.64,0.143,0.0,0.143,0.036,0.643,0.64,28,36,16,25,9,2025-26
22025,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,OffScreen,Offensive,0.575,69,0.07,1.007,0.433,0.116,0.051,0.109,0.036,0.449,0.492,138,139,52,120,68,2025-26
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,OffScreen,Offensive,0.799,67,0.047,1.193,0.507,0.048,0.048,0.048,0.0,0.506,0.613,83,99,38,75,37,2025-26
22025,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,OffScreen,Offensive,0.584,57,0.061,1.014,0.45,0.083,0.111,0.083,0.028,0.431,0.542,72,73,27,60,33,2025-26
22025,1629014,Anfernee Simons,1610612738,BOS,Boston Celtics,OffScreen,Offensive,0.178,47,0.047,0.724,0.286,0.0,0.034,0.0,0.0,0.276,0.375,29,21,8,28,20,2025-26
22025,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,OffScreen,Offensive,0.868,38,0.016,1.267,0.583,0.2,0.067,0.133,0.067,0.6,0.583,15,19,7,12,5,2025-26
22025,1642845,VJ Edgecombe,1610612755,PHI,Philadelphia 76ers,OffScreen,Offensive,0.075,74,0.023,0.571,0.24,0.071,0.071,0.071,0.036,0.25,0.26,28,16,6,25,19,2025-26
22025,203484,Kentavious Caldwell-Pope,1610612763,MEM,Memphis Grizzlies,OffScreen,Offensive,0.08,48,0.054,0.583,0.35,0.042,0.125,0.042,0.0,0.292,0.35,24,14,7,20,13,2025-26
22025,1630178,Tyrese Maxey,1610612755,PHI,Philadelphia 76ers,Transition,Offensive,0.809,67,0.213,1.283,0.561,0.138,0.085,0.13,0.029,0.561,0.654,378,485,171,305,134,2025-26
